ID,착과량(int)
TEST_0000,241.05433144846796
TEST_0001,742.9592379154595
TEST_0002,149.96961698628164
TEST_0003,429.2598492533989
TEST_0004,668.3749727644608
TEST_0005,289.92955076838297
TEST_0006,108.89446977647859
TEST_0007,42.7126195559952
TEST_0008,352.7409319641202
TEST_0009,230.4925298471886
TEST_0010,557.3157420177998
TEST_0011,741.5923409801536
TEST_0012,453.35484474299824
TEST_0013,397.1557685306933
TEST_0014,90.67157123756512
TEST_0015,140.10678022293996
TEST_0016,460.32047746891953
TEST_0017,391.47889069925634
TEST_0018,247.62682430105286
TEST_0019,556.1542485072534
TEST_0020,251.963115050335
TEST_0021,358.31900924421757
TEST_0022,448.59483266856046
TEST_0023,250.65553379691983
TEST_0024,164.8640082292165
TEST_0025,636.1525653197691
TEST_0026,163.94297812753948
TEST_0027,745.5840146228486
TEST_0028,628.3520529562563
TEST_0029,445.501675180306
TEST_0030,39.61711521863343
TEST_0031,582.7021273789787
TEST_0032,659.8396895970586
TEST_0033,544.3198014482931
TEST_0034,552.5334598316277
TEST_0035,353.2070536615735
TEST_0036,257.6387949305958
TEST_0037,637.1441961170237
TEST_0038,39.488964866749235
TEST_0039,443.1499880692552
TEST_0040,397.7835369771093
TEST_0041,160.0618457277368
TEST_0042,732.5671536546386
TEST_0043,88.22893734679288
TEST_0044,575.9031533852908
TEST_0045,338.7351834641068
TEST_0046,742.303114950826
TEST_0047,474.20983177713737
TEST_0048,344.11437949958895
TEST_0049,458.07521499626114
TEST_0050,542.0482082571178
TEST_0051,635.5407120976589
TEST_0052,447.9019535547841
TEST_0053,466.0454671012324
TEST_0054,375.5539378025421
TEST_0055,162.87160110719122
TEST_0056,739.5034041554819
TEST_0057,527.4527993466758
TEST_0058,547.3714607664136
TEST_0059,543.331423699826
TEST_0060,439.7337098112418
TEST_0061,63.759685600766076
TEST_0062,543.8708841851981
TEST_0063,344.9584384965768
TEST_0064,521.434887020342
TEST_0065,336.2633225685331
TEST_0066,447.46957139522107
TEST_0067,448.6615911480669
TEST_0068,153.52100093800092
TEST_0069,671.667327059775
TEST_0070,747.4030902906695
TEST_0071,742.57925816127
TEST_0072,643.5760739434598
TEST_0073,252.9480263206133
TEST_0074,159.50326054560287
TEST_0075,257.5761239860912
TEST_0076,164.8567815815953
TEST_0077,647.2327102040907
TEST_0078,744.5517578012633
