ID,착과량(int)
TEST_0000,260.0
TEST_0001,758.0
TEST_0002,143.0
TEST_0003,483.0
TEST_0004,687.0
TEST_0005,297.0
TEST_0006,36.0
TEST_0007,33.0
TEST_0008,361.0
TEST_0009,235.0
TEST_0010,576.0
TEST_0011,712.0
TEST_0012,400.0
TEST_0013,308.0
TEST_0014,77.0
TEST_0015,139.0
TEST_0016,542.0
TEST_0017,445.0
TEST_0018,289.0
TEST_0019,522.0
TEST_0020,234.0
TEST_0021,354.0
TEST_0022,465.0
TEST_0023,230.0
TEST_0024,197.0
TEST_0025,628.0
TEST_0026,199.0
TEST_0027,755.0
TEST_0028,683.0
TEST_0029,427.0
TEST_0030,57.0
TEST_0031,517.0
TEST_0032,631.0
TEST_0033,561.0
TEST_0034,576.0
TEST_0035,312.0
TEST_0036,246.0
TEST_0037,640.0
TEST_0038,34.0
TEST_0039,461.0
TEST_0040,470.0
TEST_0041,193.0
TEST_0042,739.0
TEST_0043,23.0
TEST_0044,678.0
TEST_0045,339.0
TEST_0046,758.0
TEST_0047,542.0
TEST_0048,318.0
TEST_0049,427.0
TEST_0050,516.0
TEST_0051,695.0
TEST_0052,362.0
TEST_0053,484.0
TEST_0054,449.0
TEST_0055,138.0
TEST_0056,741.0
TEST_0057,514.0
TEST_0058,573.0
TEST_0059,502.0
TEST_0060,493.0
TEST_0061,70.0
TEST_0062,560.0
TEST_0063,303.0
TEST_0064,535.0
TEST_0065,309.0
TEST_0066,475.0
TEST_0067,450.0
TEST_0068,157.0
TEST_0069,627.0
TEST_0070,766.0
TEST_0071,778.0
TEST_0072,649.0
TEST_0073,277.0
TEST_0074,184.0
TEST_0075,273.0
TEST_0076,109.0
TEST_0077,678.0
TEST_0078,720.0
TEST_0079,308.0
TEST_0080,231.0
TEST_0081,99.0
TEST_0082,26.0
TEST_0083,696.0
TEST_0084,650.0
TEST_0085,582.0
TEST_0086,201.0
TEST_0087,361.0
TEST_0088,29.0
TEST_0089,129.0
TEST_0090,38.0
TEST_0091,360.0
TEST_0092,508.0
TEST_0093,548.0
TEST_0094,569.0
TEST_0095,385.0
TEST_0096,257.0
TEST_0097,249.0
TEST_0098,286.0
TEST_0099,691.0
TEST_0100,723.0
TEST_0101,238.0
TEST_0102,406.0
TEST_0103,560.0
TEST_0104,192.0
TEST_0105,702.0
TEST_0106,147.0
TEST_0107,93.0
TEST_0108,480.0
TEST_0109,241.0
TEST_0110,604.0
TEST_0111,224.0
TEST_0112,697.0
TEST_0113,430.0
TEST_0114,744.0
TEST_0115,114.0
TEST_0116,678.0
TEST_0117,654.0
TEST_0118,376.0
TEST_0119,478.0
TEST_0120,184.0
TEST_0121,448.0
TEST_0122,375.0
TEST_0123,566.0
TEST_0124,708.0
TEST_0125,597.0
TEST_0126,339.0
TEST_0127,503.0
TEST_0128,508.0
TEST_0129,368.0
TEST_0130,45.0
TEST_0131,289.0
TEST_0132,467.0
TEST_0133,351.0
TEST_0134,183.0
TEST_0135,291.0
TEST_0136,799.0
TEST_0137,394.0
TEST_0138,107.0
TEST_0139,599.0
TEST_0140,785.0
TEST_0141,795.0
TEST_0142,265.0
TEST_0143,425.0
TEST_0144,43.0
TEST_0145,520.0
TEST_0146,296.0
TEST_0147,115.0
TEST_0148,114.0
TEST_0149,362.0
TEST_0150,685.0
TEST_0151,604.0
TEST_0152,714.0
TEST_0153,196.0
TEST_0154,540.0
TEST_0155,797.0
TEST_0156,588.0
TEST_0157,307.0
TEST_0158,114.0
TEST_0159,225.0
TEST_0160,566.0
TEST_0161,275.0
TEST_0162,192.0
TEST_0163,7.0
TEST_0164,573.0
TEST_0165,559.0
TEST_0166,553.0
TEST_0167,685.0
TEST_0168,577.0
TEST_0169,323.0
TEST_0170,679.0
TEST_0171,502.0
TEST_0172,425.0
TEST_0173,265.0
TEST_0174,758.0
TEST_0175,114.0
TEST_0176,231.0
TEST_0177,385.0
TEST_0178,129.0
TEST_0179,329.0
TEST_0180,257.0
TEST_0181,328.0
TEST_0182,468.0
TEST_0183,273.0
TEST_0184,770.0
TEST_0185,545.0
TEST_0186,387.0
TEST_0187,624.0
TEST_0188,630.0
TEST_0189,240.0
TEST_0190,690.0
TEST_0191,170.0
TEST_0192,321.0
TEST_0193,623.0
TEST_0194,631.0
TEST_0195,702.0
TEST_0196,216.0
TEST_0197,95.0
TEST_0198,277.0
TEST_0199,7.0
TEST_0200,189.0
TEST_0201,312.0
TEST_0202,265.0
TEST_0203,101.0
TEST_0204,448.0
TEST_0205,354.0
TEST_0206,42.0
TEST_0207,297.0
TEST_0208,293.0
TEST_0209,441.0
TEST_0210,445.0
TEST_0211,156.0
TEST_0212,267.0
TEST_0213,578.0
TEST_0214,394.0
TEST_0215,49.0
TEST_0216,702.0
TEST_0217,167.0
TEST_0218,408.0
TEST_0219,410.0
TEST_0220,168.0
TEST_0221,396.0
TEST_0222,522.0
TEST_0223,286.0
TEST_0224,508.0
TEST_0225,482.0
TEST_0226,535.0
TEST_0227,99.0
TEST_0228,696.0
TEST_0229,329.0
TEST_0230,566.0
TEST_0231,633.0
TEST_0232,491.0
TEST_0233,158.0
TEST_0234,361.0
TEST_0235,428.0
TEST_0236,493.0
TEST_0237,378.0
TEST_0238,100.0
TEST_0239,671.0
TEST_0240,678.0
TEST_0241,349.0
TEST_0242,297.0
TEST_0243,199.0
TEST_0244,652.0
TEST_0245,299.0
TEST_0246,322.0
TEST_0247,430.0
TEST_0248,678.0
TEST_0249,667.0
TEST_0250,260.0
TEST_0251,59.0
TEST_0252,657.0
TEST_0253,376.0
TEST_0254,181.0
TEST_0255,309.0
TEST_0256,271.0
TEST_0257,276.0
TEST_0258,290.0
TEST_0259,20.0
TEST_0260,508.0
TEST_0261,146.0
TEST_0262,396.0
TEST_0263,347.0
TEST_0264,8.0
TEST_0265,235.0
TEST_0266,300.0
TEST_0267,611.0
TEST_0268,580.0
TEST_0269,567.0
TEST_0270,354.0
TEST_0271,315.0
TEST_0272,431.0
TEST_0273,737.0
TEST_0274,42.0
TEST_0275,87.0
TEST_0276,382.0
TEST_0277,31.0
TEST_0278,266.0
TEST_0279,42.0
TEST_0280,697.0
TEST_0281,206.0
TEST_0282,7.0
TEST_0283,175.0
TEST_0284,723.0
TEST_0285,623.0
TEST_0286,36.0
TEST_0287,646.0
TEST_0288,502.0
TEST_0289,332.0
TEST_0290,582.0
TEST_0291,231.0
TEST_0292,615.0
TEST_0293,651.0
TEST_0294,452.0
TEST_0295,472.0
TEST_0296,696.0
TEST_0297,269.0
TEST_0298,297.0
TEST_0299,295.0
TEST_0300,273.0
TEST_0301,710.0
TEST_0302,153.0
TEST_0303,419.0
TEST_0304,511.0
TEST_0305,401.0
TEST_0306,129.0
TEST_0307,595.0
TEST_0308,732.0
TEST_0309,265.0
TEST_0310,42.0
TEST_0311,671.0
TEST_0312,499.0
TEST_0313,306.0
TEST_0314,692.0
TEST_0315,380.0
TEST_0316,493.0
TEST_0317,183.0
TEST_0318,459.0
TEST_0319,654.0
TEST_0320,269.0
TEST_0321,332.0
TEST_0322,526.0
TEST_0323,269.0
TEST_0324,363.0
TEST_0325,662.0
TEST_0326,84.0
TEST_0327,626.0
TEST_0328,676.0
TEST_0329,345.0
TEST_0330,799.0
TEST_0331,81.0
TEST_0332,262.0
TEST_0333,394.0
TEST_0334,269.0
TEST_0335,195.0
TEST_0336,49.0
TEST_0337,419.0
TEST_0338,238.0
TEST_0339,265.0
TEST_0340,730.0
TEST_0341,265.0
TEST_0342,81.0
TEST_0343,294.0
TEST_0344,573.0
TEST_0345,400.0
TEST_0346,107.0
TEST_0347,322.0
TEST_0348,76.0
TEST_0349,620.0
TEST_0350,694.0
TEST_0351,475.0
TEST_0352,480.0
TEST_0353,366.0
TEST_0354,43.0
TEST_0355,196.0
TEST_0356,446.0
TEST_0357,501.0
TEST_0358,159.0
TEST_0359,430.0
TEST_0360,159.0
TEST_0361,188.0
TEST_0362,300.0
TEST_0363,128.0
TEST_0364,222.0
TEST_0365,658.0
TEST_0366,213.0
TEST_0367,632.0
TEST_0368,265.0
TEST_0369,163.0
TEST_0370,366.0
TEST_0371,299.0
TEST_0372,125.0
TEST_0373,511.0
TEST_0374,60.0
TEST_0375,631.0
TEST_0376,186.0
TEST_0377,385.0
TEST_0378,372.0
TEST_0379,492.0
TEST_0380,425.0
TEST_0381,662.0
TEST_0382,503.0
TEST_0383,319.0
TEST_0384,380.0
TEST_0385,3.0
TEST_0386,569.0
TEST_0387,744.0
TEST_0388,617.0
TEST_0389,106.0
TEST_0390,47.0
TEST_0391,303.0
TEST_0392,782.0
TEST_0393,235.0
TEST_0394,112.0
TEST_0395,325.0
TEST_0396,388.0
TEST_0397,135.0
TEST_0398,187.0
TEST_0399,428.0
TEST_0400,706.0
TEST_0401,300.0
TEST_0402,437.0
TEST_0403,556.0
TEST_0404,480.0
TEST_0405,174.0
TEST_0406,273.0
TEST_0407,132.0
TEST_0408,615.0
TEST_0409,576.0
TEST_0410,392.0
TEST_0411,363.0
TEST_0412,684.0
TEST_0413,465.0
TEST_0414,309.0
TEST_0415,79.0
TEST_0416,351.0
TEST_0417,277.0
TEST_0418,526.0
TEST_0419,467.0
TEST_0420,259.0
TEST_0421,563.0
TEST_0422,757.0
TEST_0423,5.0
TEST_0424,345.0
TEST_0425,297.0
TEST_0426,356.0
TEST_0427,649.0
TEST_0428,782.0
TEST_0429,162.0
TEST_0430,369.0
TEST_0431,485.0
TEST_0432,739.0
TEST_0433,319.0
TEST_0434,455.0
TEST_0435,350.0
TEST_0436,671.0
TEST_0437,470.0
TEST_0438,6.0
TEST_0439,215.0
TEST_0440,212.0
TEST_0441,363.0
TEST_0442,484.0
TEST_0443,16.0
TEST_0444,369.0
TEST_0445,114.0
TEST_0446,297.0
TEST_0447,13.0
TEST_0448,778.0
TEST_0449,497.0
TEST_0450,368.0
TEST_0451,304.0
TEST_0452,201.0
TEST_0453,12.0
TEST_0454,104.0
TEST_0455,426.0
TEST_0456,201.0
TEST_0457,631.0
TEST_0458,726.0
TEST_0459,385.0
TEST_0460,88.0
TEST_0461,496.0
TEST_0462,27.0
TEST_0463,452.0
TEST_0464,615.0
TEST_0465,22.0
TEST_0466,639.0
TEST_0467,620.0
TEST_0468,494.0
TEST_0469,679.0
TEST_0470,119.0
TEST_0471,372.0
TEST_0472,208.0
TEST_0473,232.0
TEST_0474,1.0
TEST_0475,463.0
TEST_0476,400.0
TEST_0477,72.0
TEST_0478,139.0
TEST_0479,410.0
TEST_0480,100.0
TEST_0481,186.0
TEST_0482,578.0
TEST_0483,418.0
TEST_0484,792.0
TEST_0485,410.0
TEST_0486,135.0
TEST_0487,799.0
TEST_0488,300.0
TEST_0489,291.0
TEST_0490,201.0
TEST_0491,396.0
TEST_0492,206.0
TEST_0493,127.0
TEST_0494,290.0
TEST_0495,683.0
TEST_0496,76.0
TEST_0497,683.0
TEST_0498,678.0
TEST_0499,76.0
TEST_0500,486.0
TEST_0501,632.0
TEST_0502,128.0
TEST_0503,643.0
TEST_0504,502.0
TEST_0505,299.0
TEST_0506,5.0
TEST_0507,685.0
TEST_0508,303.0
TEST_0509,212.0
TEST_0510,351.0
TEST_0511,76.0
TEST_0512,379.0
TEST_0513,565.0
TEST_0514,216.0
TEST_0515,449.0
TEST_0516,317.0
TEST_0517,651.0
TEST_0518,95.0
TEST_0519,12.0
TEST_0520,526.0
TEST_0521,511.0
TEST_0522,743.0
TEST_0523,416.0
TEST_0524,726.0
TEST_0525,553.0
TEST_0526,626.0
TEST_0527,545.0
TEST_0528,426.0
TEST_0529,278.0
TEST_0530,165.0
TEST_0531,697.0
TEST_0532,519.0
TEST_0533,48.0
TEST_0534,44.0
TEST_0535,799.0
TEST_0536,789.0
TEST_0537,529.0
TEST_0538,208.0
TEST_0539,567.0
TEST_0540,634.0
TEST_0541,667.0
TEST_0542,584.0
TEST_0543,596.0
TEST_0544,523.0
TEST_0545,724.0
TEST_0546,319.0
TEST_0547,543.0
TEST_0548,639.0
TEST_0549,151.0
TEST_0550,696.0
TEST_0551,487.0
TEST_0552,456.0
TEST_0553,667.0
TEST_0554,186.0
TEST_0555,111.0
TEST_0556,221.0
TEST_0557,444.0
TEST_0558,410.0
TEST_0559,378.0
TEST_0560,139.0
TEST_0561,237.0
TEST_0562,93.0
TEST_0563,26.0
TEST_0564,426.0
TEST_0565,678.0
TEST_0566,125.0
TEST_0567,741.0
TEST_0568,540.0
TEST_0569,154.0
TEST_0570,369.0
TEST_0571,284.0
TEST_0572,300.0
TEST_0573,758.0
TEST_0574,523.0
TEST_0575,349.0
